MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom
21807664,1500000.0,85718,-110.944077,32.340547,0.94,3810,2017,4,6,5335.0,3.0,3,157.33,1,0,1,0,281.1621368322399,375000.0,1.5
21425219,1550000.0,85658,-111.095519,32.471308,0.47,13138,2008,4,5,4648.0,3.0,4,550.0,1,0,0,1,333.47676419965575,387500.0,1.25
21325799,1550000.0,85658,-111.086475,32.467426,0.71,14036,2009,4,5,4207.0,3.0,3,129.0,1,0,0,1,368.4335631091039,387500.0,1.25
21419211,1350000.0,85750,-110.839258,32.325702,1.1,14634,1998,5,6,6756.0,4.0,2,117.0,1,0,0,1,199.82238010657193,270000.0,1.2
21500569,1600000.0,85718,-110.912566,32.291761,1.44,6122,2014,4,6,4934.0,3.0,4,194.0,1,0,0,1,324.2805026347791,400000.0,1.5
21219636,1650000.0,85718,-110.943145,32.350142,0.99,19416,2009,5,6,5870.0,3.0,3,171.0,0,1,0,1,281.09028960817716,330000.0,1.2
21814007,1695000.0,85742,-111.034883,32.441422,4.58,19488,2004,6,6,6923.0,15.0,5,0.0,1,0,1,0,244.83605373393038,282500.0,1.0
21815257,169000.0,85648,-110.918513,31.451945,0.52,80,2018,4,3,1700.0,2.0,0,0.0,0,1,0,1,99.41176470588235,42250.0,0.75
21809568,1550000.0,85718,-110.915078,32.342356,1.81,21135,2004,4,5,5644.0,4.0,5,273.0,1,0,1,0,274.62792345854007,387500.0,1.25
21423202,1400000.0,85718,-110.943676,32.34812,1.15,20300,2004,4,6,6962.0,4.0,4,162.0,1,0,0,1,201.09164033323756,350000.0,1.5
21622810,1475000.0,85658,-111.085879,32.468366,2.1,17730,2009,4,5,4406.0,3.0,2,130.0,1,0,0,1,334.770767135724,368750.0,1.25
21908703,1630000.0,85718,-110.94421,32.349232,1.35,14424,2008,4,5,5204.0,4.0,5,169.0,1,0,1,0,313.2205995388163,407500.0,1.25
21221501,1769386.0,85658,-111.102623,32.468456,0.4,845,2012,3,4,3276.0,3.0,2,550.0,1,0,0,1,540.1056166056167,589795.3333333334,1.3333333333333333
21221631,1450000.0,85658,-111.093659,32.472548,0.55,1286,2012,3,4,3276.0,3.0,2,550.0,1,0,0,1,442.6129426129426,483333.3333333333,1.3333333333333333
21629871,1657019.0,85658,-111.093129,32.47211,0.63,1930,2017,3,3,2900.0,3.0,2,550.0,1,0,0,1,571.3858620689655,552339.6666666666,1.0
21400296,1485000.0,85718,-110.881172,32.333711,1.07,14819,1989,5,9,7308.0,3.0,6,131.0,1,0,0,1,203.20197044334975,297000.0,1.8
21413519,1525000.0,85718,-110.957357,32.354401,6.12,16127,1998,7,7,7294.0,4.0,3,5.0,1,0,0,1,209.075952837949,217857.14285714287,1.0
21615059,1200000.0,85750,-110.842117,32.275107,8.8,12946,1954,7,11,10417.0,0.0,5,0.0,0,1,0,1,115.19631371796102,171428.57142857142,1.5714285714285714
21213023,1500000.0,85658,-111.086385,32.467815,0.62,14556,2007,4,5,3908.0,3.0,3,134.0,1,0,0,1,383.82804503582395,375000.0,1.25
21315349,1600000.0,85755,-111.002814,32.47197,1.28,21011,2008,4,6,7876.0,4.0,2,153.0,1,0,0,1,203.14880650076182,400000.0,1.5
21326003,1550000.0,85718,-110.917949,32.295303,2.88,14081,1995,5,7,6166.0,5.0,7,134.0,0,1,0,1,251.37852740836848,310000.0,1.4
21704716,1500000.0,85716,-110.922493,32.21793,1.74,6894,1928,7,8,6481.0,3.0,3,0.0,0,1,0,1,231.44576454250887,214285.7142857143,1.1428571428571428
21725756,1435000.0,85750,-110.844659,32.32777,0.8,19537,1999,4,5,5049.0,3.0,3,142.0,1,0,0,1,284.2146959794019,358750.0,1.25
21803903,1500000.0,85701,-110.971896,32.212947,0.38,3296,1900,4,4,4572.0,0.0,2,0.0,1,0,0,1,328.0839895013123,375000.0,1.0
21806396,1585000.0,85750,-110.844983,32.298414,1.53,16832,2004,5,5,6430.0,5.0,4,33.0,1,0,0,1,246.50077760497666,317000.0,1.0
21911769,1525000.0,85658,-111.053614,32.479607,1.4,17213,2007,5,5,4551.0,3.0,3,148.0,1,0,0,1,335.09118874972535,305000.0,1.0
21528371,1550000.0,85750,-110.864255,32.330365,1.42,9710,1996,3,4,4316.0,3.0,1,211.0,1,0,0,1,359.12882298424466,516666.6666666667,1.3333333333333333
