MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category,lat_lon
21702869,650000.0,85623,-110.91859,32.587243,0.2,2880,2012,3,4,2938.0,3.0,2,168.0,0,1,0,1,221.2389380530973,216666.66666666663,1.3333333333333333,1,32.587243-110.91859
21528613,650000.0,85718,-110.911969,32.286865,0.89,5915,1996,4,5,3329.0,2.0,3,52.0,0,1,0,1,195.25382997897268,162500.0,1.25,0,32.286865-110.911969
21508845,725000.0,85718,-110.934773,32.293582,1.47,5432,1949,4,4,3238.0,2.0,3,0.0,0,1,0,1,223.90364422483012,181250.0,1.0,1,32.293582-110.934773
21828575,770000.0,85745,-110.986678,32.219062,0.07,3801,2008,3,2,2100.0,2.0,1,99.0,0,1,1,0,366.6666666666667,256666.66666666663,0.6666666666666666,1,32.219062-110.986678
21614959,679000.0,85750,-110.871662,32.312417,1.0,6574,1986,4,4,3247.0,2.0,2,43.0,0,1,0,1,209.11610717585464,169750.0,1.0,0,32.312417-110.871662
21721363,700000.0,85743,-111.091299,32.312117,3.37,9511,2007,4,4,4521.0,5.0,2,75.0,0,1,0,1,154.83300154833,175000.0,1.0,0,32.312117-111.091299
21516791,781000.0,85718,-110.883464,32.333846,0.96,8313,1978,4,4,4157.0,2.0,4,215.0,0,1,0,1,187.8758720230936,195250.0,1.0,0,32.333846-110.883464
21801043,859000.0,85718,-110.938093,32.296109,0.86,10446,2005,4,5,4117.0,3.0,3,0.0,1,0,0,1,208.6470731114889,214750.0,1.25,0,32.296109-110.938093
21829650,606250.0,85718,-110.887753,32.296709,1.76,4531,1972,3,3,3238.0,2.0,1,5.0,0,1,0,1,187.2297714638666,202083.3333333333,1.0,0,32.296709-110.887753
21827936,870000.0,85718,-110.942604,32.296348,1.87,5142,1936,4,4,2970.0,2.0,4,4.0,0,1,0,1,292.92929292929296,217500.0,1.0,1,32.296348-110.942604
