MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,fireplaces,HOA,floor_covering_luxury,floor_covering_standard,kitchen_features_luxury,kitchen_features_standard,price_per_ft,price_per_bed_room,bathrooms_per_bedroom,price_per_ft_category,lat_lon
21829905,551000.0,85623,-110.91607,32.588073,0.21,2808,2015,3,4,2398.0,3.0,1,225.21,0,1,1,0,229.7748123436197,183666.66666666663,1.3333333333333333,1,32.588073-110.91607
21923893,825000.0,85755,-110.984311,32.458872,0.3,8872,2003,4,5,3779.0,3.0,1,103.0,1,0,1,0,218.31172267795716,206250.0,1.25,1,32.458872-110.984311
21326674,1700000.0,85750,-110.846362,32.32963,1.12,17898,2002,4,5,6400.0,3.0,3,123.0,1,0,0,1,265.625,425000.0,1.25,1,32.32963-110.846362
21425623,775000.0,85750,-110.863742,32.332763,1.09,8375,1986,4,4,4393.0,3.0,2,202.0,1,0,0,1,176.41702708854996,193750.0,1.0,0,32.332763-110.863742
21329440,1125000.0,85718,-110.883547,32.329763,1.33,8654,1986,4,5,5023.0,3.0,3,179.0,1,0,0,1,223.96973919968147,281250.0,1.25,1,32.329763-110.883547
21826748,750000.0,85755,-110.98114,32.426278,1.19,10147,2002,5,4,4627.0,3.0,4,85.0,1,0,0,1,162.09206829479143,150000.0,0.8,0,32.426278-110.98114
21911089,735000.0,85718,-110.932533,32.341369,0.91,9462,2000,4,4,4195.0,2.0,1,100.0,0,1,0,1,175.20858164481527,183750.0,1.0,0,32.341369-110.932533
21426301,799000.0,85704,-110.984526,32.335054,0.87,6176,1975,5,5,5665.0,2.0,2,0.0,1,0,0,1,141.0414827890556,159800.0,1.0,0,32.335054-110.984526
21332190,776500.0,85749,-110.738799,32.299728,3.34,5447,2003,4,5,3760.0,3.0,3,8.0,0,1,0,1,206.5159574468085,194125.0,1.25,0,32.299728-110.738799
21613451,545000.0,85718,-110.955892,32.320664,0.82,4529,1985,4,3,3069.0,2.0,3,5.0,1,0,0,1,177.5822743564679,136250.0,0.75,0,32.320664-110.955892
21907951,875000.0,85750,-110.821343,32.282773,1.04,7937,2004,3,4,3803.0,3.0,3,135.0,0,1,1,0,230.0815145937418,291666.6666666667,1.3333333333333333,1,32.282773-110.821343
21207788,735000.0,85718,-110.920158,32.296104,1.0,6383,2000,4,4,3433.0,3.0,1,145.0,0,1,0,1,214.09845616079232,183750.0,1.0,1,32.296104-110.920158
21600376,800000.0,85716,-110.922711,32.225597,0.67,5634,1929,4,5,5412.0,2.0,4,0.0,0,1,0,1,147.81966001478196,200000.0,1.25,0,32.225597-110.922711
21324554,550000.0,85715,-110.83687,32.25853,0.21,4290,2006,4,2,3078.0,3.0,0,99.0,0,1,0,1,178.6874593892138,137500.0,0.5,0,32.25853-110.83687
21311699,685000.0,85718,-110.951055,32.302661,1.3,5764,2004,3,4,3078.0,3.0,1,6.0,0,1,0,1,222.5471085120208,228333.3333333333,1.3333333333333333,1,32.302661-110.951055
